"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173_1","V173_2","V174","V175","V176","V177_1","V177_2","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V197_A","V197_B","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V243_A","V243_B","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282_1","V282_2","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440"
"3","10","1","0","15000","150","0","1320","0","0","0","0","0","250","0","0","0","0","0","100","0","0","0","100","0","120","0","0","0","4","1456","4368","0","0","0","0","2106","0","0","0","50","1","0","0","0","0","1200","0","0","0","800","0","2000","0","0","0","0","0","1150","0","120","0","0","0","5270","0","1880","0","2400","0","2","4280","3205","1711","3903","5614","4118","3376","7494","0","13108","0","1388","1388","0","0","0","0","0","0","0","657","24","0","0","1","100000733","1","1","70","6","5","1","1","0","0","5","0","0","0","5","0","4","2","4","4","52","46","1","0","0","0","0","3","0","2","0","5","0","5","0","0","0","0","0","0","0","33","3","1","0","0","1","62","360","1","1","5","1","0","0","1","5","1","2","2","2","3","1","5","5","0","0","5","0","4","0","0","8","5","2","0","2","0","2","0","0","0","0","0","3","1","1","1","1","1","0","1","5","0","0","1","2","2","5","5","98","3","7","381","389","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","0","0","3","0","4","0","0","0","0.00","0","0","0","0","6","0","0","0","0.00","1","38","0","0","5","680","199","4","4","2","1","5","0","5","3","5","0","0","0","0","0","0","0","0","0","0","1","5","2","0","0","5","5","2","1","1","0","3","4","5","5","0","5","1","0","1","0","1","1","0","5","5","5","1","0","0","0","0","0","4","4","5","2","4","1","5","5","1","5","1","1","1","5","1","4","24","1","2","0","1","5","1","2","0","300","0","13558","12170","10870","3.00","2.79","7.47","9618","8930","23927","1820","5314","7794","2106","8750","1.45","1.43","1.95","8","8","8","8","7","7","7","2","6","7","3","7","4","4","6","2","2","3","-5","0","4","3","2","2","0","0","0","0","3","4","4","49","4","7","3000","5","1","9","0","0","7","7","5","0.8","0","0","2","3","8","0","4","2","4","0","5","2","0","5","6","0","3.89","3.89","3.01","3.01","3.59","3.59","2.88","2.88","7","6","7","6","3","0","0","0","0","0","0","6","0","3","1","1","4","0","0","2","2","1","1","0","1","4","1","4","98","94","155","0","23","3451"
"3","20","2","0","0","0","0","0","0","420","0","0","0","408","0","0","0","0","0","0","0","0","0","0","0","0","0","199","0","2","658","2435","0","0","273","0","1222","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","2","0","0","0","0","0","0","2000","0","0","0","0","0","4000","0","0","0","0","0","2","0","3840","0","0","0","0","0","0","0","2604","0","0","0","0","0","0","0","0","0","0","657","24","0","0","1","100000733","2","1","75","5","4","5","0","0","0","5","0","0","0","1","2","2","1","2","2","56","57","1","0","0","2","0","2","1","1","0","5","0","5","0","0","0","0","0","5","0","24","0","2","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","5","0","0","5","0","4","0","0","5","5","5","2","5","2","4","3","1","3","1","2","3","1","1","1","5","5","2","3","1","0","0","1","2","2","5","4","98","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0.00","1","24","0","0","0","0","0","0","0","1","1","0","0","5","0","5","0","0","0","0","3","3","0","0","0","0","5","0","0","0","0","5","5","1","5","1","0","5","2","0","0","0","5","1","0","1","0","5","2","0","4","0","7","5","0","0","0","0","0","5","5","5","1","5","5","5","1","1","5","1","4","1","5","5","1","24","3","0","0","5","1","1","9","0","0","0","2604","2604","1776","1.07","1.07","2.70","4107","4107","10364","1027","2249","355","1222","2000","1.86","99.99","99.99","3","3","3","2","4","4","3","2","3","0","2","3","1","1","4","3","9","9","0","1","5","3","2","2","0","0","0","3","0","5","5","57","5","3","1050","3","0","9","0","0","5","5","5","0.5","0","0","2","6","4","2","1","3","3","2","4","1","2","8","4","0","1.18","1.18","0.89","0.89","1.10","1.10","0.88","0.88","2","2","2","2","2","0","0","0","0","0","0","3","2","1","1","1","4","1","0","1","2","1","0","0","1","4","1","3","64","64","102","0","23","2248"
"3","30","3","0","3500","35","0","3000","0","0","0","0","0","500","0","57","0","0","0","0","0","0","0","0","0","0","0","606","0","2","658","2435","0","0","91","0","209","0","150","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","0","179","2","0","0","2179","0","0","0","0","0","2","0","4751","0","0","0","0","0","0","0","1770","0","0","0","0","0","0","0","0","0","0","657","24","0","0","1","100000733","3","1","80","1","6","1","1","0","0","1","3","1","5","5","0","2","1","2","2","77","64","1","0","0","0","0","2","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","5","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","5","0","0","1","1","4","0","0","1","1","7","6","7","6","4","3","0","3","0","1","3","1","1","1","2","3","2","2","5","0","0","1","2","2","5","5","98","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0.00","1","19","0","0","0","0","0","0","0","1","5","0","0","5","0","5","0","0","0","0","0","3","0","0","0","0","5","0","0","0","0","5","5","0","0","1","0","5","1","0","0","0","5","4","2","4","2","5","0","0","6","0","7","5","0","0","0","0","0","5","5","1","1","5","1","1","1","1","5","1","4","2","5","5","9","24","3","1","0","5","6","1","2","0","120","0","2097","2097","1295","0.73","0.86","1.97","3453","4092","9350","4141","4350","-2580","359","2179","0.55","99.99","99.99","2","3","3","2","3","4","3","5","5","0","0","3","0","1","3","0","9","9","-19","0","5","3","2","2","0","0","0","3","3","7","5","71","6","8","583","2","0","9","0","0","3","0","7","0.3","0","0","2","3","7","4","1","1","3","2","4","1","3","8","5","0","0.90","0.90","0.67","0.67","0.87","0.87","0.69","0.69","1","2","2","1","1","0","0","0","0","0","0","5","2","1","1","1","2","0","2","1","4","1","1","0","1","5","1","4","59","64","97","0","23","2019"
"3","40","4","0","15000","225","0","946","2","0","0","0","0","250","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","8","2340","7020","0","0","224","0","2402","0","400","2","0","0","0","0","0","0","1560","0","520","1","0","0","0","0","0","0","0","0","3500","0","400","0","0","0","5980","0","0","0","0","0","2","0","2850","3280","0","5450","0","0","0","0","6434","0","0","0","0","0","0","0","0","0","0","577","41","0","0","2","100000584","2","1","65","7","6","1","1","0","0","5","0","0","0","5","0","8","1","8","2","45","44","1","2","5","4","0","5","2","0","0","5","0","5","0","0","0","0","0","5","3","21","2","1","0","0","1","52","150","1","1","5","1","0","0","5","0","1","5","1","0","3","5","0","5","0","2","5","0","6","0","0","4","1","7","6","7","6","3","0","0","0","0","0","3","1","1","1","3","5","2","2","5","0","0","1","0","0","5","5","98","1","6","245","417","2","1","0","0","0","0","5","5","0","4","5","0","0.00","0","0","4","3","4","3","5","5","1","4","0","0","3","1","4","5","5","0","0.00","5","1","0","0","6","0","0","0","0.00","1","20","0","0","0","0","0","0","0","1","1","6","0","2","0","1","0","1","0","0","0","0","1","0","0","0","5","0","0","0","0","5","5","2","1","2","1","5","0","0","0","0","5","4","1","4","1","3","1","0","9","5","8","5","1","0","0","0","0","1","1","1","2","1","2","5","1","1","1","1","2","4","2","3","9","41","1","2","1","1","6","1","1","0","540","0","7374","7374","5999","0.92","1.05","2.56","2612","2994","7306","1509","3911","2523","2802","5460","1.20","2.10","99.99","6","6","6","6","2","2","2","2","4","3","3","6","1","1","4","1","4","9","1","1","5","3","3","3","0","0","3","2","5","4","3","45","4","5","2500","4","1","9","0","0","4","4","4","1.3","0","1","2","3","7","8","3","8","5","6","3","5","2","6","5","6","1.21","1.21","0.96","0.96","1.17","1.17","0.93","0.93","2","2","3","2","5","0","0","0","0","0","0","4","3","0","2","0","4","0","2","0","3","1","0","0","1","4","1","3","51","55","85","0","17","5459"
"3","50","5","0","5000","75","0","240","0","0","0","0","0","150","0","15","0","0","0","72","0","559","0","0","0","0","0","156","0","5","1284","3853","0","0","255","0","1903","0","100","1","0","0","0","0","75","0","2500","0","40","0","80","0","2000","0","700","0","125","0","2175","0","107","0","0","0","6902","0","0","0","0","0","2","0","2389","5800","2100","7900","0","0","0","0","7900","0","575","1390","0","0","0","0","0","0","0","577","41","0","0","2","100000584","1","1","60","3","4","1","1","0","0","1","3","3","5","3","1","5","1","5","2","24","22","1","1","0","0","0","4","0","0","0","5","0","5","0","0","0","0","0","0","0","19","2","1","0","0","1","65","900","1","1","1","1","4","1","1","5","1","9","0","0","1","1","5","1","1","1","5","0","6","0","0","5","1","7","6","7","6","4","3","0","3","0","2","4","1","1","1","5","5","1","0","5","0","0","1","2","2","5","1","98","1","6","680","168","1","2","1","4","1","5","1","0","0","4","5","0","0.00","0","0","2","5","4","5","5","4","2","1","1","0","6","1","4","4","5","0","0.00","5","1","0","0","7","0","0","0","0.00","1","16","0","6","6","692","398","6","4","3","1","5","0","5","6","5","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","5","2","1","3","1","0","3","1","6","1","0","1","3","2","3","2","2","1","0","2","3","8","1","0","1","0","0","4","5","5","5","1","1","5","5","1","1","5","1","4","5","1","5","5","41","1","3","0","5","2","3","1","0","180","0","8395","6880","6340","2.05","1.79","4.94","4898","4266","11796","1252","4545","3355","2003","6782","1.56","2.32","1.05","7","7","6","6","4","4","3","2","5","4","3","6","3","3","5","2","4","2","3","3","2","3","3","3","0","0","0","0","3","1","1","23","1","6","1250","3","2","9","0","0","2","3","3","1.3","0","1","2","3","6","2","4","8","5","4","7","7","0","8","6","3","2.03","2.03","1.60","1.60","1.90","1.90","1.53","1.53","5","4","5","4","5","0","0","0","0","0","0","3","3","2","2","0","6","0","2","0","2","1","0","1","1","5","1","4","70","65","109","0","22","3978"
"3","60","6","0","0","0","0","0","0","0","0","1080","2","250","0","0","0","0","0","300","0","0","0","200","0","100","1","0","0","6","1919","5756","25","0","0","0","1508","0","0","0","75","0","0","0","0","0","2230","0","0","0","0","0","120","0","0","0","0","0","2500","0","175","0","0","0","5025","0","1030","2","0","0","2","1030","3327","6100","168","6318","1797","0","1797","0","8115","0","483","483","0","0","0","2","0","0","0","667","12","0","0","3","100000554","1","1","55","3","6","8","0","3","6","5","0","0","0","5","0","6","1","6","4","49","46","1","7","3","0","0","5","0","0","1","5","0","5","0","0","0","0","0","3","7","28","5","1","0","0","3","67","2685","1","1","5","1","0","0","1","3","1","2","3","2","2","1","1","0","1","0","1","2","4","4","5","0","0","0","0","0","0","4","6","0","6","0","2","1","1","1","1","1","9","0","0","5","0","0","1","0","0","5","5","98","1","8","999","999","2","1","4","7","1","2","5","5","0","4","5","0","0.00","0","0","4","2","5","5","5","5","5","0","0","0","7","5","4","0","1","5","2.00","5","5","1","0","6","0","0","0","0.00","1","26","0","0","4","391","849","4","4","4","1","0","8","5","1","5","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","5","5","2","2","1","0","5","0","2","1","0","1","1","0","1","0","1","2","0","2","5","8","5","1","0","1","3","0","3","1","2","5","3","5","9","1","1","5","1","1","4","1","1","9","12","1","2","0","1","8","1","1","0","0","0","9470","8987","7657","1.76","1.56","3.99","5863","5195","13275","550","2541","5574","1508","6055","0.79","2.74","1.40","7","7","7","7","5","5","4","1","3","6","2","6","3","2","5","1","5","2","2","2","1","3","2","2","0","4","3","4","0","4","4","48","4","6","1800","3","4","9","0","0","6","6","4","1.0","0","0","2","2","5","7","4","5","4","8","6","6","3","5","8","2","2.53","2.21","1.99","1.74","2.37","2.07","1.90","1.66","4","3","6","3","4","0","0","0","0","0","0","2","3","3","0","0","0","1","0","2","3","1","1","0","0","4","1","7","77","72","115","4","23","4693"
"3","70","7","0","12000","180","0","600","0","0","0","0","0","350","0","0","0","0","0","198","0","1116","0","0","0","0","0","1314","0","5","1630","4891","0","0","128","0","1297","0","0","0","0","0","0","0","0","0","2254","0","0","0","0","0","1144","1","0","0","75","1","1925","0","0","0","0","0","5323","0","0","0","0","0","2","0","3179","7599","1144","8743","0","0","0","0","8743","0","699","777","0","0","0","0","0","0","0","755","34","0","0","6","100000812","1","1","60","5","5","1","1","0","0","5","0","0","0","3","3","5","1","5","2","51","42","1","7","3","0","0","4","0","0","0","5","0","5","0","0","0","0","0","5","7","35","2","1","0","0","1","67","1850","1","1","1","1","4","1","1","5","5","0","0","0","1","5","0","5","2","2","1","1","3","0","0","3","5","0","0","0","0","3","0","0","0","0","0","2","1","1","1","1","1","3","0","5","0","0","1","0","2","5","5","98","1","7","753","527","1","3","5","0","0","0","5","5","0","6","5","0","0.00","0","0","2","3","5","5","5","4","5","0","0","3","5","1","4","3","5","0","0.00","1","0","1","0","7","0","0","0","0.00","1","28","0","2","7","983","779","7","0","2","1","5","0","5","7","1","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","5","5","0","0","1","0","1","0","0","0","0","5","2","0","2","0","2","5","0","0","5","9","1","3","1","0","0","3","1","1","2","5","1","1","1","3","1","5","1","1","1","5","5","9","34","1","2","0","5","6","1","1","0","489","0","9307","8455","7205","1.79","1.73","4.42","5683","5495","14052","3758","5832","2911","1297","5323","0.80","3.37","1.00","7","7","7","6","5","5","4","4","6","3","2","6","3","2","5","1","6","2","7","7","5","3","2","2","0","0","0","3","0","4","3","47","4","7","2400","4","3","9","0","0","6","7","4","1.0","0","0","2","1","8","7","3","3","2","4","4","5","0","3","5","3","2.25","2.25","1.77","1.77","2.11","2.11","1.69","1.69","4","4","5","4","4","0","0","0","0","0","0","6","2","2","0","0","1","0","0","0","0","1","1","0","0","3","1","3","75","74","119","0","24","3978"
"3","80","8","0","22300","334","2","1104","0","0","0","0","0","250","0","0","0","0","0","388","0","770","1","0","0","0","0","1300","0","6","1919","5756","0","0","0","0","2626","0","0","0","0","0","0","0","0","0","1763","0","0","0","672","0","1960","0","0","0","0","0","2000","0","0","0","0","0","6395","0","1790","1","685","2","2","2475","2643","6600","3077","9677","1700","1027","2727","0","12884","0","1015","1027","0","0","0","0","0","0","0","755","34","0","0","3","100000812","4","1","60","3","5","1","1","0","0","5","0","0","0","5","0","6","1","6","4","47","43","1","6","3","1","1","5","0","2","0","1","7","5","0","0","0","0","0","3","3","24","3","1","0","0","3","67","1299","1","3","1","1","4","2","5","0","1","3","1","9","2","1","5","5","2","2","1","2","6","0","0","0","0","9","0","9","0","1","0","0","0","0","0","3","1","1","1","2","3","2","0","1","0","0","1","2","2","5","5","98","1","6","0","0","1","1","5","0","0","0","1","0","0","2","5","0","0.00","0","0","2","5","1","5","5","5","5","0","4","2","4","1","4","1","5","0","0.00","5","1","0","0","7","0","0","0","0.00","1","23","0","3","6","0","0","5","4","3","1","7","0","5","6","5","0","0","0","0","0","0","0","1","0","0","1","5","1","0","0","5","5","1","2","1","0","1","0","5","1","0","5","3","2","3","2","3","5","0","2","5","8","5","0","0","0","0","2","1","5","1","1","5","1","1","1","5","5","2","1","1","5","5","5","45","1","1","1","1","3","3","2","0","738","1","13622","12595","10673","2.24","2.19","5.56","5916","5783","14700","4146","7799","5085","2626","8198","1.37","3.74","1.57","8","8","8","8","5","5","4","5","7","6","3","7","3","3","5","2","6","3","1","1","4","3","2","3","2","0","4","4","0","4","3","45","4","6","4460","6","3","9","0","0","5","5","3","1.2","0","1","1","1","8","7","5","6","4","2","6","5","0","3","7","2","2.81","2.81","2.21","2.21","2.63","2.63","2.11","2.11","5","5","6","5","4","0","0","0","0","0","0","6","4","3","2","0","2","0","0","0","0","1","1","0","0","2","1","5","77","76","121","0","24","4693"
"3","90","9","0","22500","337","0","0","0","0","0","0","0","250","0","0","0","0","0","75","1","0","0","0","0","0","0","0","0","2","658","2435","104","0","128","0","988","0","0","0","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","0","25","1","0","0","2025","0","0","0","0","0","2","0","4827","0","0","220","0","0","0","0","4410","0","0","0","0","0","0","0","0","0","0","755","34","0","0","6","100000812","3","1","45","3","5","1","5","0","0","1","1","0","5","3","9","2","1","2","2","66","63","1","0","0","0","0","2","0","0","0","5","0","5","0","0","0","0","0","0","0","24","2","1","0","0","1","64","520","1","1","5","1","0","0","1","3","5","0","0","0","1","1","1","0","2","1","5","0","3","1","5","3","5","2","0","2","0","4","7","2","7","2","1","2","1","1","2","1","1","0","0","5","0","0","1","2","2","5","5","98","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0.00","1","21","0","0","0","0","0","0","0","5","5","0","0","5","0","5","0","0","1","0","0","4","4","0","0","0","5","0","0","0","0","5","5","2","1","1","0","3","1","0","0","0","5","4","0","4","0","2","4","3","4","5","7","1","3","0","0","1","1","1","2","2","1","1","3","1","1","1","5","4","1","1","5","3","9","34","1","5","1","5","1","1","4","0","1350","0","5785","5785","3848","1.81","2.38","5.85","8742","11468","28228","662","1650","2760","988","2025","1.50","99.99","99.99","5","6","6","4","7","8","7","1","2","3","1","3","3","4","5","2","9","9","3","3","1","3","2","2","0","0","2","2","3","6","5","65","6","6","4500","6","2","9","0","0","4","5","6","0.4","0","0","2","2","8","8","1","2","3","5","7","1","2","7","7","0","2.24","2.24","1.67","1.67","2.16","2.16","1.72","1.72","4","5","5","5","1","0","0","0","0","0","0","7","2","3","1","1","3","0","0","0","2","1","1","0","1","4","1","6","93","107","168","0","24","2019"
"3","100","10","0","3000","60","0","0","0","0","0","0","0","150","0","0","0","0","0","110","0","1080","5","0","0","0","0","600","0","7","1825","5476","52","0","182","0","836","0","0","0","0","0","0","0","0","0","1560","0","0","0","0","0","0","0","0","0","0","0","3500","0","0","0","0","0","5060","0","1400","0","1040","0","2","2440","3310","6300","0","6700","1100","900","2000","0","9420","0","478","478","0","0","0","0","0","0","0","497","32","0","0","3","100000269","1","1","75","0","6","1","5","0","0","5","0","0","0","1","2","7","2","7","4","57","58","1","2","1","1","1","6","0","0","2","5","0","5","0","0","0","0","0","1","2","26","3","1","0","0","1","66","1410","1","1","1","1","4","1","1","3","5","0","0","0","1","1","5","1","0","1","5","0","3","1","5","4","5","2","2","2","2","4","0","0","0","0","0","1","1","2","2","2","9","1","1","5","0","0","1","2","2","5","5","98","1","1","142","857","1","1","6","0","0","0","1","0","0","4","5","0","0.00","0","0","4","5","5","5","5","5","5","9","0","4","3","1","4","5","5","0","0.00","1","0","1","0","6","0","0","0","0.00","1","25","0","0","0","0","0","0","0","3","1","0","0","5","6","5","0","0","1","0","0","0","0","0","0","0","5","0","2","0","0","5","5","1","2","1","0","4","0","0","0","0","5","2","1","2","1","3","4","0","8","5","8","5","3","0","4","0","0","5","1","1","1","1","5","1","1","5","5","1","4","5","5","1","5","32","1","7","0","5","2","1","1","0","180","0","9600","9122","8732","1.72","1.67","4.78","5694","5514","15837","2000","3314","6106","836","7500","0.46","4.04","99.99","7","7","7","7","5","5","5","3","4","6","1","7","2","2","5","0","7","9","1","1","2","3","3","3","0","0","5","0","0","5","5","58","5","3","500","2","3","9","0","0","5","6","3","1.2","1","1","2","0","7","7","5","7","5","6","8","5","0","5","7","3","1.65","1.65","1.30","1.30","1.74","1.74","1.40","1.40","4","4","4","4","4","0","0","0","0","0","0","4","5","3","0","0","3","0","0","0","0","1","0","0","0","3","1","5","75","74","126","0","3","5848"
