"V6301","V6302","V6303","V6304","V6305","V6306","V6307","V6308","V6309","V6310","V6311","V6312","V6313","V6314","V6315","V6316","V6317","V6318","V6319","V6320","V6321","V6322","V6323","V6324","V6325","V6326","V6327","V6328","V6329","V6330","V6331","V6332","V6333","V6334","V6335","V6336","V6337","V6338","V6339","V6340","V6341","V6342","V6343","V6344","V6345","V6346","V6347","V6348","V6349","V6350","V6351","V6352","V6353","V6354","V6355","V6356","V6357","V6358","V6359","V6360","V6361","V6362","V6363","V6364","V6365","V6366","V6367","V6368","V6369","V6370","V6371","V6372","V6373","V6374","V6375","V6376","V6377","V6378","V6379","V6380","V6381","V6382","V6383","V6384","V6385","V6386","V6387","V6388","V6389","V6390","V6391","V6392","V6393","V6394","V6395","V6396","V6397","V6398","V6399","V6400","V6401","V6402","V6403","V6404","V6405","V6406","V6407","V6408","V6409","V6410","V6411","V6412","V6413","V6414","V6415","V6416","V6417","V6418","V6419","V6420","V6421","V6422","V6423","V6424","V6425","V6426","V6427","V6428","V6429","V6430","V6431","V6432","V6433","V6434","V6435","V6436","V6437","V6438","V6439","V6440","V6441","V6442","V6443","V6444","V6445","V6446","V6447","V6448","V6449","V6450","V6451","V6452","V6453","V6454","V6455","V6456","V6457","V6458","V6459","V6460","V6461","V6462","V6463","V6464","V6465","V6466","V6467","V6468","V6469","V6470","V6471","V6472","V6473","V6474","V6475","V6476","V6477","V6478","V6479","V6480","V6481","V6482","V6483","V6484","V6485","V6486","V6487","V6488","V6489","V6490","V6491","V6492","V6493","V6494","V6495","V6496","V6497","V6497_A","V6498","V6498_A","V6499","V6500","V6501","V6502","V6503","V6504","V6505","V6506","V6507","V6508","V6509","V6510","V6511","V6512","V6513","V6514","V6515","V6516","V6517","V6518","V6519","V6520","V6521","V6522","V6523","V6524","V6525","V6526","V6527","V6528","V6529","V6530","V6531","V6532","V6533","V6534","V6535","V6536","V6537","V6538","V6539","V6540","V6541","V6542","V6543","V6544","V6545","V6546","V6547","V6548","V6549","V6550","V6551","V6552","V6553","V6554","V6555","V6556","V6557","V6558","V6559","V6560","V6561","V6562","V6563","V6564","V6565","V6566","V6567","V6568","V6569","V6570","V6571","V6572","V6573","V6574","V6575","V6576","V6577","V6578","V6579","V6580","V6581","V6582","V6583","V6584","V6585","V6586","V6587","V6588","V6589","V6590","V6591","V6592","V6593","V6594","V6595","V6596","V6596_A","V6597","V6597_A","V6598","V6599","V6600","V6601","V6602","V6603","V6604","V6605","V6606","V6607","V6608","V6609","V6610","V6611","V6612","V6613","V6614","V6615","V6616","V6617","V6618","V6619","V6620","V6621","V6622","V6623","V6624","V6625","V6626","V6627","V6628","V6629","V6630","V6631","V6632","V6633","V6634","V6635","V6636","V6637","V6638","V6639","V6640","V6641","V6642","V6643","V6644","V6645","V6646","V6647","V6648","V6649","V6650","V6651","V6652","V6653","V6654","V6655","V6656","V6657","V6658","V6659","V6660","V6661","V6662","V6663","V6664","V6665","V6666","V6667","V6668","V6669","V6670","V6671","V6672","V6673","V6674","V6675","V6676","V6677","V6678","V6679","V6680","V6681","V6682","V6683","V6684","V6685","V6686","V6687","V6688","V6689","V6690","V6691","V6692","V6693","V6694","V6695","V6696","V6697","V6698","V6699","V6700","V6701","V6702","V6703","V6704","V6705","V6706","V6707","V6708","V6709","V6710","V6711","V6712","V6713","V6714","V6715","V6716","V6717","V6718","V6719","V6720","V6721","V6722","V6723","V6724","V6725","V6726","V6727","V6728","V6729","V6730","V6731","V6732","V6733","V6734","V6735","V6736","V6737","V6738","V6739","V6740","V6741","V6742","V6743","V6744","V6745","V6746","V6747","V6748","V6749","V6750","V6751","V6752","V6753","V6754","V6755","V6756","V6757","V6758","V6759","V6760","V6761","V6762","V6763","V6764","V6765","V6766","V6767","V6768","V6769","V6770","V6771","V6772","V6773","V6774","V6775","V6776","V6777","V6778","V6779","V6780","V6781","V6782","V6783","V6784","V6785","V6786","V6787","V6788","V6789","V6790","V6791","V6792","V6793","V6794","V6795","V6796","V6797","V6798","V6799","V6800","V6801","V6802","V6803","V6804","V6805","V6806","V6807","V6808","V6809","V6810","V6811","V6812","V6813","V6814","V6815","V6816"
"3","1","9","0","0","0","0","0","1","1","1","3","0","0","1","0","12","150","0","0","0","0","0","0","0","1200","0","5","5","0","0","540","0","120","600","2738","0","40","0","80","0","0","0","0","0","167","0","102","0","0","0","0","0","0","0","0","0","0","0","2","5","4","26.40","3588","4004","0","104","0","0","0","0","0","0","0","0","4420","0","780","0","0","0","0","0","0","0","0","0","0","0","0","14000","0","0","5000","0","0","0","500","0","0","0","0","0","0","0","0","0","19500","0","4","2418","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1335","2468","582","1070","338","4839","2847","5508","1272","660","2682","7184","1","1","30","5","26","1","25","3","1","1","1","0","0","0","1","1","20000","1","5","5","3","5","0","0","0","0","5","0","0","1","1","5","1","3","1","1","1","1","5","51","0","92","0","30","0","0","0","0","0","1","1","1","1","5","0","5","0","5","0","50","41","5","1","6.37","1","9.56","0.00","0.00","0","0.00","1","51","1","7.00","50","19","1","7.00","1","0","0","0","0","10","4","5","0","5","2","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","915","0","777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","75","83","3","34","5","4","1","5","0","1","0","0","1","77","2","5","5","1","4","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","5","0","5","0","5","0","0","0","1","1","5","5","1","1","4","1","1","4","5","0","0","5","1","5","5","0","5","13","0","0","5","0","3","3","5","5","0","0","5","0","0","0","0","1","7","1","0","0","0","0","0","6","1","3","12","0","2","2","5","5","5","6","3","5","5","5","0","0","14","0","0","0","0","0","5","0","0","0","1","1","19500","19000","0","5.43","1304","6.94","4.90","3","2","6","6","3","0","0","0","2400","4","1.0","2","2","2","6","6","0","1","6","5","1","2","0","0","0","0","0","0","0","1","1","6","15","0","0","0","0","0","0","1","230","1","2","6610"
"3","2","21","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","27000","0","0","0","0","0","475","0","0","0","0","0","0","620","0","56","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","11.70","2480","2600","0","520","0","0","0","0","0","0","0","0","2600","0","780","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2400","0","0","0","2400","0","2","0","0","0","0","0","0","6000","8400","0","0","0","0","0","0","0","14400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1496","3176","2811","685","2902","1569","3446","5679","2744","5413","35","4816","1","1","34","2","64","1","69","0","0","1","1","0","0","0","1","1","15000","5","0","4","1","1","5","0","0","0","5","0","0","5","0","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","75","5","0","0","0","0","0","0","5","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","5","0","0","1","0","0","1","50","10","0","1","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","5","0","5","0","5","0","0","0","5","1","1","0","1","3","4","5","0","0","5","0","0","5","1","5","5","0","5","12","5","0","0","0","2","2","20","20","0","0","5","0","0","0","0","7","7","5","31","27","24","4","1","6","5","3","21","0","1","1","5","5","3","2","0","5","42","42","0","0","11","0","0","0","5","0","0","0","0","0","1","1","16800","0","14400","6.77","669","0.00","0.00","2","2","6","6","1","0","0","1","6750","5","0.5","2","5","6","3","4","0","1","5","6","0","0","0","0","0","0","0","0","0","1","3","2","16","0","0","0","0","0","0","1","459","2","2","4396"
"3","3","4","0","0","0","0","0","1","4","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","2220","0","5","5","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","18.60","3522","1300","0","52","0","0","0","1","0","0","10","0","2680","0","720","0","152","0","264","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2928","0","0","0","0","0","0","200","0","0","0","3128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6784","32","296","698","618","9","811","1252","1576","299","5770","5008","4","1","60","3","23","1","19","1","1","1","1","0","0","0","5","0","0","0","0","3","3","5","0","0","0","0","1","5","5","1","1","3","5","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","1","1","3","1","5","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","1","5","0","1","0","0","1","25","1","5","5","1","4","0","0","0","0","0","0","0","0","0","5","0","5","0","1","1","6","0","1","2","5","0","5","0","0","0","1","5","0","1","1","1","0","1","1","0","1","1","0","5","1","5","1","1","1","11","1","7","0","0","9","4","0","0","0","0","1","17","0","17","0","7","0","0","1","0","0","1","1","6","1","3","17","0","3","4","5","5","1","3","3","5","0","0","0","0","12","0","0","0","1","2","0","0","1","1","1","2","3128","0","3128","0.89","1016","0.00","0.00","4","3","3","3","3","0","0","0","7400","3","1.0","2","1","1","5","3","0","1","0","0","1","0","0","0","0","0","0","0","0","2","1","5","2","0","0","0","0","0","0","1","444","3","2","4766"
"3","4","4","0","0","0","0","0","1","1","1","8","0","0","3","0","0","0","32500","0","0","0","0","0","400","0","0","0","0","0","0","480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","11.70","2053","0","0","2496","0","0","0","0","0","0","0","0","2600","0","50","0","0","0","40","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3804","0","0","0","0","0","0","0","0","0","0","3804","320","2000","0","0","0","0","0","0","3300","3300","0","0","0","0","0","6600","0","1","1","5115","57","3","77","92","620","601","1","3289","3089","4765","5008","3","1","30","2","60","2","0","0","0","1","1","0","0","0","1","1","2000","5","0","5","2","1","5","0","0","0","5","0","0","5","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","48","5","5","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","1","5","0","0","1","2","5","0","5","0","0","0","1","1","1","0","1","1","3","5","0","0","5","0","0","5","5","0","1","1","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","4","4","5","22","0","0","1","0","1","5","3","4","0","1","1","5","5","5","2","2","5","6","6","0","0","12","0","0","0","5","0","0","0","0","0","1","2","12404","0","3804","6.04","669","0.00","0.00","4","4","6","4","1","0","0","0","6500","5","0.4","2","5","0","4","0","0","4","4","6","0","0","0","0","0","0","0","0","0","1","2","4","5","0","0","0","0","0","0","2","444","4","2","3658"
"3","5","4","0","0","0","0","0","1","0","0","0","0","0","1","0","30","200","0","0","0","0","0","0","0","2160","0","5","5","0","0","300","0","20","500","0","0","2080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","6.30","1921","0","0","104","0","0","0","1","0","0","54","0","180","0","180","0","0","0","324","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1040","0","0","300","30","0","0","1370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6821","3539","3050","1065","619","11","973","246","1232","4829","4448","5008","1","1","45","1","44","2","0","0","0","1","1","0","0","0","1","1","2000","1","4","4","3","5","0","0","0","0","5","0","0","8","0","0","1","5","1","1","1","5","0","75","942","87","857","3","1","9","3","0","0","1","52","5","0","5","0","5","0","5","0","0","0","0","1","3.20","5","0.00","0.00","0.00","0","0.00","5","0","0","0.00","0","0","1","0.00","0","0","0","0","0","1","4","5","0","5","4","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","2","0","5","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","1","2","5","0","5","0","0","0","1","5","0","1","1","1","2","5","0","0","1","10","0","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","35","0","35","0","8","4","3","22","21","19","8","5","5","5","2","4","0","9","9","1","0","1","1","3","1","15","0","50","0","12","0","0","0","1","2","0","0","0","0","1","4","1370","0","1370","0.71","393","0.00","0.00","4","4","3","3","1","0","0","0","5400","5","0.3","1","3","0","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","4","4","4","0","0","0","0","0","0","2","444","5","2","3253"
"3","6","4","0","0","0","0","0","1","1","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","1800","0","5","5","0","0","300","0","0","0","1042","0","0","0","0","0","0","0","1040","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","15.00","3900","0","0","1248","0","26","0","0","0","0","0","0","2600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6400","0","2","361","18","0","0","0","0","0","0","1320","0","625","0","0","0","0","1945","0","0","0","0","0","0","0","3396","0","0","0","0","0","0","0","3396","1","1","0","6820","33","33","364","171","1364","97","2831","1577","1776","4149","5008","1","1","33","2","43","2","0","1","16","1","3","0","0","0","1","1","8000","5","0","2","3","5","0","0","0","0","1","3","3","5","0","0","5","0","1","1","5","1","1","70","602","40","278","11","4","8","1","1","1","5","0","5","0","5","0","5","0","1","26","26","40","1","3","0.00","0","0.00","5.86","8.79","0","0.00","5","0","0","0.00","0","0","5","0.00","0","0","1","0","0","10","4","5","0","5","2","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","3","0","24","1","5","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","1","2","5","0","5","0","0","0","1","5","0","1","1","1","0","5","0","0","5","0","0","1","5","0","5","0","5","10","5","0","0","0","1","3","24","0","12","0","5","99","0","99","0","9","9","9","26","24","23","99","9","1","5","3","4","0","3","3","9","0","5","0","3","5","25","0","12","0","10","0","0","0","5","0","0","0","0","0","1","1","11741","6400","1945","3.01","858","6.14","0.00","4","4","9","9","1","1","1","0","9000","2","1.0","1","3","0","3","0","160","5","3","2","0","0","0","0","1","0","0","0","0","2","2","4","4","0","0","0","0","0","0","2","444","6","2","4434"
"3","7","32","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","60000","0","0","0","0","0","121","0","0","0","0","0","0","984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","11.70","2480","520","0","520","0","0","0","0","0","0","0","0","1040","0","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3755","4792","0","0","0","0","0","0","0","8547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1656","4343","1678","1607","1309","3392","2144","974","378","626","91","7536","2","1","20","2","64","1","62","0","0","5","0","0","0","0","1","1","4200","5","0","6","1","1","5","0","0","0","5","0","0","5","0","0","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","72","5","0","0","0","0","0","0","5","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","5","0","0","1","0","0","1","10","10","0","5","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","1","7","5","0","5","0","0","0","5","1","5","1","1","5","0","5","0","0","1","97","0","5","1","5","1","1","5","7","5","0","0","0","9","1","0","0","0","0","5","34","0","48","0","7","7","5","29","25","0","2","1","5","1","1","46","0","4","4","5","5","1","2","2","1","40","40","0","0","12","0","0","0","1","3","0","0","0","0","1","1","8547","0","8547","3.45","669","0.00","0.00","3","4","2","2","3","0","0","0","10000","7","0.3","2","5","5","5","2","0","1","2","3","0","0","0","0","0","0","0","0","0","1","3","0","9","0","0","0","0","0","0","1","200","7","2","4396"
"3","8","32","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","20000","0","0","0","0","0","150","0","0","0","0","0","0","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5.40","1647","0","0","1040","0","0","0","0","0","0","0","0","1300","0","240","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5300","0","0","0","5300","0","1","177","17","0","0","0","0","4000","0","0","0","0","0","0","0","0","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","271","810","1676","2956","2419","31","843","190","5630","67","101","7536","1","1","25","1","74","2","0","0","0","5","0","0","0","0","1","1","7000","5","0","7","1","1","5","0","0","0","5","0","0","5","0","0","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","62","5","0","0","0","0","0","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","20","0","1","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","1","1","5","0","5","0","0","0","1","1","1","0","1","4","97","5","0","0","5","0","0","5","5","0","1","1","5","0","0","0","0","0","0","0","0","0","0","0","5","99","0","0","0","9","9","9","35","33","0","2","0","9","9","9","99","0","9","9","9","0","9","2","4","5","35","35","0","0","12","0","0","0","1","2","0","0","0","0","1","1","9300","0","4000","5.65","337","0.00","0.00","3","9","9","6","9","0","0","0","2857","8","0.1","1","6","0","5","0","0","3","3","5","0","0","0","0","0","0","0","0","0","1","3","3","30","0","0","0","0","0","0","2","200","8","2","3118"
"3","9","32","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","18000","0","0","0","0","0","142","0","0","0","0","0","0","750","0","0","0","2080","0","0","0","0","0","0","0","0","0","43","0","1248","0","0","0","0","0","0","0","0","0","69","0","2","3","3","20.40","3346","1300","0","0","0","520","0","0","0","0","0","0","2600","0","0","0","0","0","0","0","0","75","0","0","0","0","4410","730","0","0","0","0","0","0","900","0","0","2590","0","0","0","0","0","0","8630","1400","3","375","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1981","4388","3064","2533","2496","758","2145","1536","2184","810","1880","7536","3","1","40","3","48","1","43","0","0","5","0","0","0","0","1","2","12000","5","0","6","1","1","5","0","0","0","5","0","0","5","0","0","5","0","1","2","5","5","0","51","751","51","69","6","8","8","1","2","5","5","0","5","0","5","0","5","0","5","0","52","40","5","3","0.00","0","0.00","7.00","0.00","0","0.00","5","0","0","0.00","0","0","5","0.00","0","0","5","1","0","1","4","5","0","5","4","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","5","0","73","984","83","769","204","0","0","5","0","5","0","5","0","5","0","5","0","52","24","5","7","0.00","0.00","7","5","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","25","0","1","1","5","0","0","0","0","0","0","0","0","0","0","5","0","1","2","5","0","0","0","5","0","5","0","1","1","5","0","5","1","5","1","1","1","3","5","0","0","1","97","0","5","1","5","5","0","5","11","5","0","0","0","2","2","12","1","60","0","5","32","0","32","0","7","7","5","15","15","13","4","3","4","1","1","32","0","1","1","5","5","3","2","9","1","27","27","0","0","7","0","0","0","1","3","0","0","0","0","2","2","8630","5140","0","2.58","1114","2.47","0.72","3","3","3","3","1","0","0","0","3000","6","0.5","3","4","3","2","3","0","1","2","1","0","0","0","0","0","1","0","0","0","2","3","1","4","0","0","0","0","0","0","1","200","9","2","5118"
"3","10","4","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","55000","0","0","0","0","0","275","0","0","0","0","0","0","475","0","0","0","768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5.40","1647","0","0","520","0","0","0","0","0","0","0","0","1300","0","240","0","0","0","0","0","0","0","0","0","0","0","0","4600","0","0","0","0","0","0","0","0","0","0","0","0","350","0","0","0","4950","0","1","278","19","0","0","0","0","3001","852","0","0","0","0","0","0","0","3853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","2307","3238","959","899","67","159","228","1370","3308","487","2992","2","1","18","1","64","2","0","0","0","5","0","0","0","0","1","1","4000","5","0","5","1","1","5","0","0","0","5","0","0","5","0","0","5","0","4","0","0","0","0","0","925","0","838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0.00","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","77","1","75","86","48","16","1","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","10","0","5","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","5","0","5","0","5","0","0","0","5","1","1","0","1","1","3","5","0","0","5","0","0","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","3","0","3","0","8","6","1","39","34","0","2","2","5","1","2","3","0","2","3","5","5","3","2","2","5","34","34","0","0","8","0","0","0","5","0","0","0","0","0","1","1","8803","4600","3853","5.34","337","5.99","0.00","4","3","3","3","3","0","0","0","11000","6","0.2","1","5","0","2","0","0","3","2","5","0","0","0","0","0","0","0","0","0","1","1","1","34","0","0","0","0","0","0","2","444","10","2","3253"
