"V8201","V8202","V8203","V8204","V8205","V8206","V8207","V8208","V8209","V8210","V8211","V8212","V8213","V8214","V8215","V8216","V8217","V8218","V8219","V8220","V8221","V8222","V8223","V8224","V8225","V8226","V8227","V8228","V8229","V8230","V8231","V8232","V8233","V8234","V8235","V8236","V8237","V8238","V8239","V8240","V8241","V8242","V8243","V8244","V8245","V8246","V8247","V8248","V8249","V8250","V8251","V8252","V8253","V8254","V8255","V8256","V8257","V8258","V8259","V8260","V8261","V8262","V8263","V8264","V8265","V8266","V8267","V8268","V8269","V8270","V8271","V8272","V8273","V8274","V8275","V8276","V8277","V8278","V8279","V8280","V8281","V8282","V8283","V8284","V8285","V8286","V8287","V8288","V8289","V8290","V8291","V8292","V8293","V8294","V8295","V8296","V8297","V8298","V8299","V8300","V8301","V8302","V8303","V8304","V8305","V8306","V8307","V8308","V8309","V8310","V8311","V8312","V8313","V8314","V8315","V8316","V8317","V8318","V8319","V8320","V8321","V8322","V8323","V8324","V8325","V8326","V8327","V8328","V8329","V8330","V8331","V8332","V8333","V8334","V8335","V8336","V8337","V8338","V8339","V8340","V8341","V8342","V8343","V8344","V8345","V8346","V8347","V8348","V8349","V8350","V8351","V8352","V8353","V8354","V8355","V8356","V8357","V8358","V8359","V8360","V8361","V8362","V8363","V8364","V8365","V8366","V8367","V8368","V8369","V8370","V8371","V8372","V8373","V8374","V8375","V8376","V8377","V8378","V8379","V8380","V8381","V8382","V8383","V8384","V8385","V8386","V8387","V8388","V8389","V8390","V8391","V8392","V8393","V8394","V8395","V8396","V8397","V8398","V8399","V8400","V8401","V8402","V8403","V8404","V8405","V8406","V8407","V8408","V8409","V8410","V8411","V8412","V8413","V8414","V8415","V8416","V8417","V8418","V8419","V8420","V8421","V8422","V8423","V8424","V8425","V8426","V8427","V8428","V8429","V8430","V8431","V8432","V8433","V8434","V8435","V8436","V8437","V8438","V8439","V8440","V8441","V8442","V8443","V8444","V8445","V8446","V8447","V8448","V8449","V8450","V8451","V8452","V8453","V8454","V8455","V8456","V8457","V8458","V8459","V8460","V8461","V8462","V8463","V8464","V8465","V8466","V8467","V8468","V8469","V8470","V8471","V8472","V8473","V8474","V8475","V8476","V8477","V8478","V8479","V8480","V8481","V8482","V8483","V8484","V8485","V8486","V8487","V8488","V8489","V8490","V8491","V8492","V8493","V8494","V8495","V8496","V8497","V8498","V8499","V8500","V8501","V8502","V8503","V8504","V8505","V8506","V8507","V8508","V8509","V8510","V8511","V8512","V8513","V8514","V8515","V8516","V8517","V8518","V8519","V8520","V8521","V8522","V8523","V8524","V8525","V8526","V8527","V8528","V8529","V8530","V8531","V8532","V8533","V8534","V8535","V8536","V8537","V8538","V8539","V8540","V8541","V8542","V8543","V8544","V8545","V8546","V8547","V8548","V8549","V8550","V8551","V8552","V8553","V8554","V8555","V8556","V8557","V8558","V8559","V8560","V8561","V8562","V8563","V8564","V8565","V8566","V8567","V8568","V8569","V8570","V8571","V8572","V8573","V8574","V8575","V8576","V8577","V8578","V8579","V8580","V8581","V8582","V8583","V8584","V8585","V8586","V8587","V8588","V8589","V8590","V8591","V8592","V8593","V8594","V8595","V8596","V8597","V8598","V8599","V8600","V8601","V8602","V8603","V8604","V8605","V8606","V8607","V8608","V8609","V8610","V8611","V8612","V8613","V8614","V8615","V8616","V8617","V8618","V8619","V8620","V8621","V8622","V8623","V8624","V8625","V8626","V8627","V8628","V8629","V8630","V8631","V8632","V8633","V8634","V8635","V8636","V8637","V8638","V8639","V8640","V8641","V8642","V8643","V8644","V8645","V8646","V8647","V8648","V8649","V8650","V8651","V8652","V8653","V8654","V8655","V8656","V8657","V8658","V8659","V8660","V8661","V8662","V8663","V8664","V8665","V8666","V8667","V8668","V8669","V8670","V8671","V8672","V8673","V8674","V8675","V8676","V8677","V8678","V8679","V8680","V8681","V8682","V8683","V8684","V8685","V8686","V8687","V8688","V8689","V8690","V8691","V8692","V8693","V8694","V8695","V8696","V8697","V8698","V8699","V8700","V8701","V8702","V8703","V8704","V8705","V8706","V8707","V8708","V8709","V8710","V8711","V8712","V8713","V8714","V8715","V8716","V8717","V8718","V8719","V8720","V8721","V8722","V8723","V8724","V8725","V8726","V8727","V8728","V8729","V8730","V8731","V8732","V8733","V8734","V8735","V8736","V8737","V8738","V8739","V8740"
"3","1","34","0","0","0","0","0","1","0","0","0","0","0","1","0","70000","0","734","0","0","0","0","0","1260","0","0","2352","0","0","0","0","0","0","0","0","0","1672","0","0","0","0","0","0","0","0","0","2","3","3","19.70","3227","0","0","0","2080","0","780","0","0","0","0","0","0","22000","0","0","0","0","0","0","0","8100","0","0","0","0","0","0","0","0","0","30100","0","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","864","3000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","733","2626","1783","14","1591","2054","4289","4211","4455","1336","1508","189","4157","2510","314","22","3","54","1","51","0","0","1","3","32000","6","1","0","5","1","0","0","0","0","5","0","5","0","0","1","1","5","5","0","54","265","717","7","0.00","0","0.00","0.00","0.00","2","99.99","30","0","0","5","0","5","0","1","3","5","0","5","0","49","48","5","5","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","99.99","1","0","0","0","0","4","5","0","2","65","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","5","0","180","321","609","3","0.00","5.25","0","180","0","5","0","5","0","1","3","5","0","5","0","49","28","1","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","5","0","5","0","5","0","0","0","5","0","1","5","0","5","12","5","0","0","0","2","2","27","17","50","0","5","34","0","34","0","5","6","5","11","10","8","3","0","7","1","3","34","0","1","1","5","5","5","2","2","1","31","30","50","0","13","0","0","0","0","0","5","0","0","0","1","1","3","4332","28","0","0","0","0","0","0","0","0","0","0","0","33100","22000","10.26","1076","9.35","4.84","2","2","2","2","1","0","0","0","11667","6","0.5","3","4","4","6","4","1","7","7","0","0","0","0","0","0","0","1","0","1","3","81","1","32","0","0.00","0","1","0","0","0","0","0","0","0","0","7110"
"3","2","21","0","0","0","0","0","1","0","0","0","0","0","1","0","40000","0","1200","0","0","0","0","0","2052","0","0","1843","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","18.20","2981","0","0","0","3120","0","208","0","0","0","0","0","0","9000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9000","0","3","3","3","0","0","0","0","0","0","0","0","5040","0","0","0","0","5040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","731","3829","2496","52","1284","1116","4413","2570","4211","1124","1404","1167","5813","4338","313","13","3","41","2","0","2","9","1","1","5000","7","1","0","5","1","0","0","0","0","5","0","5","0","0","1","1","5","5","0","48","372","877","1","4.37","5","0.00","0.00","0.00","0","0.00","48","0","0","1","1","5","0","1","2","5","0","5","0","50","37","5","5","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0.00","0","0","5","5","1","6","1","5","1","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","5","0","5","0","5","0","5","0","0","0","5","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","34","0","34","0","6","4","5","9","7","0","2","0","2","1","3","34","0","1","1","5","5","5","4","4","5","15","15","0","0","12","0","0","0","1","2","0","0","1","6","1","2","3","213","16","0","0","0","0","0","0","0","0","0","0","0","14040","9000","4.71","994","4.88","0.00","2","2","2","2","2","0","0","0","5714","6","0.4","1","3","0","5","0","4","3","3","0","0","2","0","0","0","0","0","0","1","3","81","5","38","0","0.00","0","2","0","0","0","0","0","0","0","0","7323"
"3","3","21","0","0","0","0","0","1","0","0","0","0","0","1","0","80000","0","1450","0","0","0","0","0","1300","0","0","2116","0","0","0","32","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","2","3","3","17.80","2916","0","0","0","3120","0","1300","0","0","0","0","0","0","30000","0","0","0","0","0","0","0","900","0","0","0","0","0","2000","0","0","0","32900","0","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","731","3828","3815","3918","1283","680","1602","2372","3881","4435","162","1288","2243","844","313","19","3","39","1","36","1","6","1","2","18000","6","1","0","5","1","0","0","0","0","5","0","5","0","0","1","1","5","5","0","252","245","168","1","15.00","5","0.00","0.00","0.00","0","0.00","180","0","0","5","0","1","1","1","3","5","0","5","0","48","44","5","5","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00","1","0","0","0","0","12","5","0","1","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","5","0","4","202","707","1","9.00","0.00","0","4","4","5","0","5","0","5","0","5","0","5","0","3","40","5","5","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","5","0","5","0","5","0","0","0","5","0","1","5","0","5","14","0","0","5","0","7","4","10","10","0","0","5","34","0","34","0","5","2","5","0","0","0","0","0","4","1","3","34","0","1","2","5","5","3","4","4","5","15","15","0","0","12","0","0","0","5","0","0","0","0","0","1","1","3","5014","32","0","0","0","0","0","0","0","0","0","0","0","32900","30000","11.28","972","14.18","7.50","2","2","2","2","2","0","0","0","13333","6","0.5","2","3","3","4","6","1","7","7","0","0","1","0","0","0","0","0","0","1","3","81","1","34","0","0.00","0","1","0","0","0","0","0","0","0","0","7316"
"3","4","10","0","0","0","0","0","1","1","1","3","0","0","1","0","85000","0","711","0","0","0","0","0","850","0","0","2071","1","40","0","0","0","0","0","0","0","104","0","0","0","0","0","0","0","0","0","2","5","4","28.80","4066","0","0","0","3900","0","780","0","0","0","0","0","0","28800","0","0","100","0","0","0","0","500","0","0","0","0","0","200","0","0","0","29600","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1300","2618","1252","1659","2218","2735","1507","3484","3968","3660","5491","3968","2200","1148","313","22","5","33","1","29","3","1","1","1","16000","6","1","0","5","1","0","0","0","0","5","0","5","0","0","1","1","1","5","0","120","1","927","1","15.00","5","0.00","0.00","0.00","0","0.00","60","0","0","1","1","5","0","1","2","5","0","5","0","49","40","1","1","99","9","99.99","99","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00","1","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","944","787","52","2","1","0","1","5","0","1","0","0","5","0","5","0","5","0","5","0","0","0","5","0","1","5","0","5","12","1","2","0","0","4","5","6","4","50","2","5","13","0","13","0","5","6","1","0","0","0","1","0","5","1","3","13","0","2","2","1","0","3","4","4","5","10","8","50","0","16","0","0","0","0","0","1","5","0","0","1","1","5","3506","28","0","0","0","0","0","0","0","0","0","0","0","29600","28900","7.28","1423","13.95","4.81","3","2","2","2","3","0","1","0","14167","5","0.8","2","2","2","7","5","1","7","5","1","1","1","0","0","0","0","0","0","1","4","91","5","14","0","0.00","0","1","0","0","0","0","0","0","0","0","9897"
"3","5","42","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","4800","0","0","0","880","0","0","2160","0","0","0","160","0","0","0","0","0","1736","0","24","0","80","0","0","0","240","0","2","2","2","14.00","2962","0","0","0","2600","0","1560","0","0","0","0","0","0","16000","0","0","0","0","0","0","0","9000","0","0","0","0","0","0","0","0","0","25000","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","636","1292","746","1942","3304","3543","1504","2544","404","4821","3604","4321","3506","891","313","25","2","29","1","26","0","0","1","2","28000","5","2","0","5","5","1","5","0","0","1","1","1","1","5","1","1","5","1","5","6","144","857","1","8.70","1","6.50","0.00","0.00","0","0.00","6","9","5","5","0","1","2","1","2","5","0","5","0","48","45","5","5","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0.00","0","0","1","0","0","6","1","5","1","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","5","0","1","372","857","3","0.00","4.00","0","1","8","1","1","1","1","1","1","5","0","1","6","43","40","5","5","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","5","0","5","0","5","0","0","0","5","0","1","5","0","5","14","0","0","5","0","4","6","3","0","40","0","5","13","0","13","0","6","7","1","0","0","0","0","0","2","5","2","13","0","1","1","1","0","3","4","4","5","6","2","50","0","14","0","0","0","0","0","5","0","0","0","1","1","2","4006","28","0","0","0","0","0","0","0","0","0","0","0","25000","16000","8.44","801","7.41","5.18","3","2","2","2","3","0","0","0","9600","6","0.4","2","2","2","6","6","1","6","6","0","0","0","0","0","0","0","0","0","1","4","91","5","16","0","0.00","0","1","0","0","0","0","0","0","0","0","6086"
"3","6","13","0","0","0","0","0","1","0","0","0","0","0","1","0","30000","0","200","0","0","0","0","0","1816","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","11.70","2476","0","0","0","1820","0","13","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1700","0","0","0","1720","0","2","4","2","0","0","0","0","5423","948","0","0","0","0","0","0","0","6371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1365","1300","2172","650","3432","558","3404","1332","160","2069","1612","695","1427","499","313","23","2","76","1","73","0","0","1","1","6500","4","1","0","5","1","0","0","0","0","5","0","5","0","0","4","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","77","1","86","877","1","1","5","4","5","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","5","0","0","1","0","0","5","0","5","0","5","0","5","0","0","0","1","3","1","1","3","5","12","5","0","0","0","2","2","5","0","10","2","5","13","0","13","0","8","7","5","41","40","38","4","2","8","5","2","13","0","2","3","1","0","3","2","2","5","52","50","25","0","8","0","0","0","1","8","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8091","20","3.27","669","20.00","0.00","2","2","2","2","1","0","0","0","7500","5","0.5","2","7","6","2","4","1","1","1","0","0","0","0","0","0","0","0","0","1","2","191","0","34","0","0.00","0","1","0","0","0","0","0","0","0","0","5494"
"3","7","13","0","0","0","0","0","1","0","0","0","0","0","1","0","40000","0","131","0","0","0","0","0","825","0","0","4284","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5.40","1648","0","0","0","1820","0","0","0","0","0","0","0","0","10560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10560","0","1","2","1","0","0","0","0","3344","0","0","0","0","0","0","0","0","3344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2291","1632","596","39","2219","1495","4023","1823","84","3225","1266","694","5469","3839","313","17","1","73","2","0","0","0","1","1","900","5","1","0","5","1","0","0","0","0","5","0","5","0","0","1","1","5","5","0","15","982","769","1","2.50","5","0.00","0.00","0.00","0","0.00","15","0","0","5","0","5","0","1","1","5","0","5","0","51","99","5","5","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0.00","0","0","9","9","5","0","5","0","3","0","0","97","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","5","0","5","0","5","0","5","0","0","0","5","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","13","0","41","0","9","6","1","39","38","36","5","4","3","1","4","41","0","2","2","5","5","1","9","1","5","26","26","0","0","1","5","0","9","0","0","0","0","0","0","1","2","1","709","19","0","0","0","0","0","0","0","0","0","0","0","13904","10560","8.44","337","2.46","0.00","2","3","2","3","3","0","1","0","8000","6","0.2","1","6","0","1","0","3","3","6","0","0","0","0","0","0","0","0","0","1","4","91","0","34","0","0.00","0","2","0","0","0","0","0","0","0","0","4359"
"3","8","13","0","0","0","0","0","1","1","0","0","2","3","2","0","100000","0","400","0","0","0","0","0","1800","0","0","3250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","18.60","4244","0","0","0","5200","0","720","0","0","0","0","0","0","45000","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0","0","45200","0","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","900","1","1","4500","4","2","0","0","0","0","0","0","0","0","0","1240","5400","0","0","0","0","0","8449","0","0","0","0","0","0","8449","1","3","2","1242","1480","1967","2240","2713","1134","2548","4147","3967","5039","1448","3767","5126","1782","313","24","3","45","1","46","0","0","1","3","25000","8","1","0","5","1","0","0","0","0","5","0","5","0","0","1","1","5","1","5","300","481","468","1","13.54","5","0.00","0.00","0.00","0","0.00","24","0","0","5","0","5","0","1","2","5","0","5","0","50","65","5","5","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00","1","0","0","0","0","2","5","0","2","55","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","5","0","0","1","0","0","5","0","5","0","5","0","5","0","0","0","5","0","1","5","0","5","12","5","0","0","0","2","2","2","2","0","0","5","22","0","22","0","5","5","1","13","10","6","4","4","0","5","2","13","0","2","2","5","5","3","2","2","1","22","19","25","0","12","0","0","0","5","0","0","0","0","0","1","2","6","8445","43","0","0","0","0","0","0","0","0","0","0","0","59049","45000","13.91","1016","13.85","0.00","2","2","2","2","1","1","1","0","12500","8","0.4","3","4","4","4","4","1","9","8","0","0","0","0","0","0","0","0","0","1","4","191","1","32","0","0.00","0","1","0","0","0","0","0","0","0","0","10096"
"3","9","9","0","0","0","0","0","1","0","0","0","0","0","1","0","16000","0","57","0","0","0","0","0","616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","11.70","2476","0","0","0","2080","0","520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5400","0","0","0","5400","0","2","4","2","0","0","0","0","5500","5200","0","0","0","0","0","0","0","10700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","288","504","2253","962","1829","1299","2207","2722","4078","5086","3413","1831","137","42","312","15","2","83","1","82","0","0","1","1","7000","3","2","0","5","1","0","0","0","0","1","6","5","0","0","4","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","63","5","0","0","0","0","0","0","5","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","63","5","0","0","0","0","0","0","5","0","0","1","0","0","5","0","5","0","5","0","5","0","0","0","1","1","1","1","1","5","12","1","7","0","0","2","2","1","1","0","0","5","21","0","0","0","8","5","3","48","0","0","1","1","5","1","1","21","0","2","2","9","0","1","2","9","5","48","48","0","0","11","0","0","0","1","2","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","16100","0","6.50","669","0.00","0.00","3","2","2","6","3","0","0","0","5333","4","0.7","2","7","7","3","5","1","4","4","0","0","0","0","0","0","0","0","0","1","2","271","0","32","0","0.00","0","1","0","0","0","0","0","0","0","0","5494"
"3","10","9","0","0","0","0","0","0","0","0","0","0","0","1","0","100000","0","192","0","0","0","0","0","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5.40","1648","0","0","0","1560","0","780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7000","0","0","0","7000","0","1","3","1","0","0","0","0","5065","5040","0","0","0","0","0","0","0","10105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1443","898","3806","2845","2071","3634","4533","2663","3630","263","193","667","713","2465","313","20","1","76","2","0","0","0","1","1","1000","6","2","0","5","1","0","0","0","0","5","0","5","0","0","4","0","0","0","0","0","0","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","60","5","0","0","0","0","0","0","5","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","5","0","5","0","5","0","5","0","0","0","1","1","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","37","0","37","0","8","1","5","0","0","0","0","0","0","5","1","37","0","1","1","5","5","5","2","2","5","35","35","0","0","14","0","0","0","0","0","1","5","1","4","1","2","1","168","16","0","0","0","0","0","0","0","0","0","0","0","17105","0","10.38","337","0.00","0.00","3","1","1","1","3","0","0","0","16667","7","0.2","1","7","0","6","0","3","4","7","0","0","0","0","0","0","0","0","0","1","2","271","3","30","0","0.00","0","2","0","0","0","0","0","0","0","0","4359"
