N,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g
5000,2,2,1024,146962,0.012761,0.0170365,0.0194824,0.0214609
10000,2,2,1113,277415,0.0328086,0.0489687,0.03968,0.061932
15000,2,2,1603,403779,0.0048965,0.00935484,0.0107793,0.0115711
20000,2,2,2226,559182,0.0297313,0.0405759,0.0234191,0.0275389
25000,2,2,2735,467662,0.0160293,0.0219259,0.0225556,0.0346061
30000,2,2,3286,897163,0.0116435,0.0201141,0.0174349,0.0318756
35000,2,2,3886,1011610,0.00533236,0.00980109,0.011426,0.0226529
40000,2,2,4450,827061,0.010641,0.0150716,0.00457206,0.00645086
45000,2,2,4877,1203898,0.0244949,0.024996,0.0302842,0.0370739
50000,2,2,5398,1479369,0.00827683,0.0107372,0.0126935,0.0158846
5000,2,3,1092,274190,0.0499138,0.0770247,0.0433199,0.103106
10000,2,3,2192,554042,0.0213767,0.0357512,0.0315816,0.0703922
15000,2,3,2527,852714,0.020326,0.0460436,0.0546059,0.118894
20000,2,3,3370,1109521,0.0308133,0.0450189,0.0385908,0.0949657
25000,2,3,4200,1386460,0.0124829,0.035537,0.0256481,0.0549222
30000,2,3,4989,1632034,0.0170245,0.0259338,0.0418741,0.0723298
35000,2,3,7537,1659389,0.0103073,0.0161366,0.0255522,0.0380529
40000,2,3,6647,1255493,0.00970199,0.0142571,0.0100991,0.0154397
45000,2,3,7457,2472077,0.015499,0.0452219,0.0115988,0.0262839
50000,2,3,10772,2331814,0.00620864,0.0136317,0.00830963,0.0166763
5000,2,4,1528,381040,0.0627513,0.105606,0.0446406,0.058909
10000,2,4,3066,762900,0.0796857,0.178515,0.0666226,0.13676
15000,2,4,3426,1141367,0.0525797,0.0739913,0.0945404,0.183434
20000,2,4,6179,1537046,0.0131637,0.0221334,0.0570072,0.133503
25000,2,4,7729,1902343,0.0149525,0.0519212,0.0766293,0.144541
30000,2,4,9147,2275446,0.0160439,0.035445,0.160009,0.373502
35000,2,4,8071,2674395,0.023643,0.0405472,0.0435542,0.0775283
40000,2,4,12372,2985756,0.012837,0.0231224,0.00403013,0.00864472
45000,2,4,13826,3417322,0.016882,0.0366638,0.0697305,0.254442
50000,2,4,15035,3755262,0.022315,0.0415697,0.0846432,0.260141
5000,2,5,2093,518617,0.0423614,0.11406,0.0769799,0.164957
10000,2,5,4183,1041490,0.0338603,0.120117,0.0442919,0.152496
15000,2,5,4697,1555288,0.0226328,0.0412645,0.150482,0.268849
20000,2,5,8282,2066359,0.0302441,0.0561127,0.10052,0.260657
25000,2,5,10460,2587890,0.0231827,0.046801,0.103996,0.196498
30000,2,5,12698,3096080,0.0162314,0.0551701,0.0379204,0.104227
35000,2,5,14486,3607652,0.0256281,0.0397916,0.0828317,0.189837
40000,2,5,16548,4123652,0.0142512,0.0367334,0.0985836,0.215816
45000,2,5,18759,4666127,0.0172333,0.0291485,0.032506,0.0783692
50000,2,5,20879,5198133,0.0198336,0.0439612,0.0281162,0.0900403
5000,2,6,2750,678900,0.0907268,0.210454,0.0782276,0.178969
10000,2,6,5419,1349213,0.0331269,0.082621,0.143012,0.338303
15000,2,6,8238,2037966,0.0298475,0.0661389,0.101659,0.167693
20000,2,6,10947,2710167,0.0197719,0.0697296,0.0649667,0.106085
25000,2,6,13637,3368567,0.0177392,0.0392602,0.0219072,0.0620904
30000,2,6,12096,4033715,0.0167531,0.0408268,0.116085,0.29499
35000,2,6,14081,4674334,0.0273323,0.0565574,0.105382,0.220116
40000,2,6,21458,5357976,0.0179277,0.035321,0.0896231,0.195819
45000,2,6,18367,6075508,0.0170793,0.0352133,0.1744,0.286745
50000,2,6,26923,6722015,0.010816,0.0259749,0.041447,0.132148
5000,2,7,2685,887157,0.0362349,0.116316,0.070748,0.169033
10000,2,7,7161,1785104,0.0364098,0.11372,0.12433,0.259017
15000,2,7,10735,2657695,0.0296979,0.0851,0.0953703,0.228903
20000,2,7,14417,3589248,0.0238753,0.0458534,0.149413,0.221527
25000,2,7,17983,4476133,0.0206021,0.0623412,0.0697291,0.141835
30000,2,7,21633,5387954,0.0373655,0.118038,0.110982,0.244516
35000,2,7,25500,6272539,0.0291813,0.0891824,0.13898,0.280292
40000,2,7,21370,7107122,0.0307259,0.104883,0.0890165,0.182006
45000,2,7,32031,8018351,0.0270325,0.0607041,0.07688,0.161855
50000,2,7,36084,9017022,0.0323163,0.108837,0.0836598,0.202346
5000,2,8,4458,1108456,0.0673872,0.295238,0.102354,0.419833
10000,2,8,9075,2230614,0.0544311,0.107047,0.112684,0.316005
15000,2,8,13347,3328843,0.0494255,0.133753,0.152088,0.543318
20000,2,8,17785,4438561,0.0295396,0.076565,0.0844178,0.155484
25000,2,8,22623,5542302,0.0370777,0.0636692,0.0684235,0.242449
30000,2,8,26538,6622581,0.0278741,0.10758,0.123586,0.288056
35000,2,8,31258,7794792,0.0264916,0.0568438,0.129528,0.4496
40000,2,8,35979,8992363,0.0216871,0.0470985,0.138198,0.412867
45000,2,8,39686,9928947,0.031328,0.0956721,0.168179,0.405126
50000,2,8,44412,11018886,0.0207112,0.0442611,0.136691,0.434846
5000,2,9,5395,1351607,0.084482,0.218595,0.0928487,0.317754
10000,2,9,10772,2691729,0.0625729,0.139371,0.185958,0.410034
15000,2,9,16225,4100552,0.0462642,0.0985023,0.134781,0.383311
20000,2,9,21749,5439148,0.0283831,0.0928568,0.0806072,0.235472
25000,2,9,27589,6715882,0.035311,0.0906438,0.0752133,0.378894
30000,2,9,32259,8053597,0.02245,0.0633925,0.093547,0.381696
35000,2,9,37790,9474222,0.0272968,0.0813334,0.141174,0.328154
40000,2,9,43897,10806775,0.0310964,0.118173,0.181976,0.31806
45000,2,9,48160,12080689,0.0242644,0.081763,0.189992,0.372036
50000,2,9,40025,13484850,0.0259684,0.0507556,0.308605,0.443651
5000,2,10,6632,1662455,0.0835587,0.220849,0.110658,0.245345
10000,2,10,13221,3307808,0.0828494,0.217047,0.172418,0.577223
15000,2,10,19770,4945899,0.0380837,0.153666,0.158266,0.36823
20000,2,10,26488,6639212,0.0282026,0.0872933,0.0859952,0.225888
25000,2,10,32912,8295489,0.0249627,0.062402,0.0783511,0.125148
30000,2,10,39915,10008471,0.0369159,0.0806062,0.0935764,0.377986
35000,2,10,46169,11581486,0.0309325,0.0561558,0.196749,0.480579
40000,2,10,52976,13591936,0.0429574,0.115751,0.05992,0.233436
45000,2,10,61001,15308393,0.0182265,0.0507726,0.0917978,0.341529
50000,2,10,67601,16973349,0.0391133,0.10895,0.113252,0.468028
5000,2,11,7870,1957178,0.0820385,0.255049,0.134822,0.433541
10000,2,11,16005,3925899,0.0590724,0.203343,0.109673,0.389747
15000,2,11,23518,5879436,0.0514738,0.135833,0.140064,0.323576
20000,2,11,31370,7840292,0.0389574,0.162299,0.151512,0.40085
25000,2,11,39265,9800946,0.0267391,0.0915799,0.125423,0.195469
30000,2,11,47192,11804454,0.0251109,0.0796928,0.07106,0.421334
35000,2,11,55594,13780521,0.0363192,0.0918938,0.205662,0.290661
40000,2,11,62672,15628773,0.0317465,0.077592,0.171055,0.406791
45000,2,11,70768,17710518,0.0259998,0.066624,0.149776,0.493142
50000,2,11,78197,19485900,0.0460319,0.133554,0.101239,0.430875
5000,2,12,9177,2289748,0.068623,0.156172,0.102872,0.42979
10000,2,12,18325,4583149,0.0424123,0.101555,0.191335,0.607791
15000,2,12,27454,6863720,0.0461313,0.154065,0.137712,0.592636
20000,2,12,27485,9152044,0.0349275,0.100899,0.157582,0.39092
25000,2,12,45791,11436084,0.0314561,0.138654,0.206416,0.386154
30000,2,12,68668,13729558,0.0298796,0.140498,0.133654,0.440594
35000,2,12,64031,16006692,0.032212,0.0969947,0.18905,0.35906
40000,2,12,73226,18307505,0.0406385,0.0852128,0.141502,0.386259
45000,2,12,82410,20594541,0.0399329,0.0892818,0.180782,0.559264
50000,2,12,91582,22880652,0.029968,0.0738487,0.0931171,0.221931
5000,2,13,10903,2719363,0.140125,0.371851,0.114497,0.34071
10000,2,13,21723,5435904,0.0923905,0.230649,0.234299,0.354105
15000,2,13,32633,8151289,0.0424217,0.122146,0.166918,0.491781
20000,2,13,43482,10874616,0.0815296,0.169013,0.200719,0.332002
25000,2,13,54348,13608225,0.0590937,0.147899,0.182365,0.468823
30000,2,13,65237,16311549,0.042488,0.109296,0.125292,0.339555
35000,2,13,76221,19030681,0.022564,0.0677611,0.160525,0.593969
40000,2,13,87145,21739987,0.0212072,0.0653169,0.0899667,0.26349
45000,2,13,97817,24445872,0.0353133,0.099814,0.12396,0.393597
50000,2,13,108602,27141386,0.017619,0.0456236,0.135057,0.357054
5000,2,14,12405,3096832,0.07778,0.269954,0.205357,0.577336
10000,2,14,24771,6184282,0.0998243,0.299405,0.0988147,0.478386
15000,2,14,37152,9280309,0.0748083,0.297283,0.115274,0.357426
20000,2,14,49560,12415650,0.0581459,0.219905,0.128732,0.590069
25000,2,14,61842,15383130,0.0729442,0.202986,0.106741,0.557277
30000,2,14,73788,18444170,0.0356324,0.0910516,0.158438,0.327222
35000,2,14,86160,21534048,0.0319615,0.0879238,0.134013,0.532619
40000,2,14,99041,24611466,0.0336491,0.129914,0.157959,0.38919
45000,2,14,110665,27712410,0.0243912,0.0700344,0.180917,0.511903
50000,2,14,123101,30748298,0.0505786,0.141902,0.190545,0.507992
5000,2,15,14108,3515672,0.0960852,0.323009,0.129199,0.413634
10000,2,15,28476,7038765,0.0966035,0.211423,0.179192,0.698124
15000,2,15,42510,10547975,0.0700036,0.195613,0.100932,0.281522
20000,2,15,56250,14078013,0.0267751,0.0718053,0.146827,0.342631
25000,2,15,70805,17630488,0.0401499,0.114288,0.135188,0.518505
30000,2,15,84920,21149334,0.0522792,0.125882,0.166277,0.322833
35000,2,15,98308,24631047,0.0276308,0.162558,0.0922271,0.40068
40000,2,15,112988,28276895,0.0411176,0.101304,0.136748,0.527385
45000,2,15,126462,31672134,0.0235575,0.120593,0.0978582,0.35487
50000,2,15,141540,35191915,0.0404777,0.114512,0.124939,0.603321
5000,2,16,16045,4029835,0.158149,0.413202,0.127565,0.400696
10000,2,16,32079,8049993,0.0390751,0.150169,0.221193,0.55806
15000,2,16,48041,12089834,0.048126,0.212329,0.112763,0.428268
20000,2,16,64027,16099357,0.0366187,0.105172,0.17674,0.43607
25000,2,16,80061,20137064,0.0438799,0.141921,0.158906,0.576519
30000,2,16,96177,24153608,0.0424879,0.108971,0.102149,0.529251
35000,2,16,112103,28167866,0.0518641,0.129832,0.168644,0.538329
40000,2,16,128539,32202036,0.0239714,0.0865997,0.155774,0.489547
45000,2,16,144242,36209282,0.0452104,0.123258,0.187321,0.690832
50000,2,16,160163,40258324,0.0306351,0.0840155,0.128496,0.481104
5000,2,17,17996,4522741,0.0860156,0.239341,0.100331,0.512459
10000,2,17,35983,9046539,0.055911,0.144135,0.0978838,0.387627
15000,2,17,53966,13574439,0.081043,0.290966,0.125991,0.438589
20000,2,17,71965,18101577,0.0660882,0.215417,0.229431,0.490699
25000,2,17,89972,22619862,0.0457845,0.12018,0.118879,0.44227
30000,2,17,107998,27122954,0.0407715,0.163084,0.175916,0.617833
35000,2,17,126492,31657124,0.0386751,0.144878,0.152453,0.622023
40000,2,17,144266,36188376,0.0392719,0.128413,0.177849,0.513012
45000,2,17,161864,40716811,0.0201208,0.0831809,0.173691,0.672649
50000,2,17,179969,45228223,0.023943,0.129536,0.128915,0.443721
5000,2,18,20094,5050338,0.09802,0.263767,0.169625,0.619859
10000,2,18,40175,10100076,0.0924489,0.292807,0.0859702,0.443167
15000,2,18,61114,15158988,0.0700782,0.210156,0.115735,0.502785
20000,2,18,80469,20206847,0.050172,0.154849,0.18397,0.468169
25000,2,18,125819,25255478,0.0414734,0.195486,0.240546,0.673356
30000,2,18,120730,30290228,0.0402704,0.0889854,0.18265,0.462865
35000,2,18,140684,35332760,0.0466988,0.141183,0.160143,0.6103
40000,2,18,160667,40377355,0.0326698,0.139318,0.222704,0.618368
45000,2,18,180708,45419843,0.0362862,0.118043,0.220713,0.551948
50000,2,18,200877,50493297,0.0224276,0.088471,0.162913,0.582132
5000,2,19,22375,5610485,0.114217,0.460927,0.146973,0.57041
10000,2,19,45201,11223418,0.0578821,0.216956,0.169274,0.605627
