N,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g
5000,2,2,1301,196263,0.0125869,0.016936,16.7358,32.948
10000,2,2,1433,375783,0.0324121,0.0484422,36.4151,43.3241
15000,2,2,2104,551793,0.00765934,0.0114504,44.5605,63.03
20000,2,2,2879,756643,0.0297697,0.0407042,103.775,167.979
25000,2,2,2660,912606,0.0160293,0.0219259,70.2604,118.979
30000,2,2,4238,1117375,0.0110067,0.0173923,96.8335,161.526
35000,2,2,4972,1312749,0.00508347,0.00880072,95.5256,175.657
40000,2,2,4277,1499335,0.010641,0.0150716,201.894,228.842
45000,2,2,6328,1661236,0.0220879,0.0221981,nan,0
50000,2,2,7002,1843063,0.00396415,0.00759259,nan,0
5000,2,3,1028,254457,0.0499138,0.0770247,26.1447,87.7798
10000,2,3,2013,515602,0.0213767,0.0357512,88.2764,187.342
15000,2,3,3071,786505,0.0205222,0.0457842,55.8612,115.067
20000,2,3,4087,1033802,0.0322799,0.0498116,117.131,194.087
25000,2,3,5255,1548625,0.0129335,0.0373273,125.464,225.478
30000,2,3,6210,2102754,0.0168896,0.0270416,104.298,186.488
35000,2,3,8650,1891231,0.0103461,0.0161135,nan,0
40000,2,3,8091,2214207,0.0135259,0.0200098,nan,0
45000,2,3,9057,2404156,0.0160873,0.0504885,nan,0
50000,2,3,9877,2809004,0.00620864,0.0136317,nan,0
5000,2,4,1688,341510,0.0648067,0.113058,35.262,54.183
10000,2,4,3474,694948,0.0771804,0.169193,46.4048,112.132
15000,2,4,4095,1132603,0.052096,0.0756576,94.6996,220.339
20000,2,4,6970,1774899,0.0131107,0.0224915,111.197,289.636
25000,2,4,8442,2678985,0.0147302,0.0511272,99.378,262.883
30000,2,4,10175,3472995,0.0161145,0.0354636,nan,0
35000,2,4,9554,4864024,0.0234558,0.0407129,141.085,202.545
40000,2,4,13946,4812358,0.0126806,0.0228636,nan,0
45000,2,4,15738,3294094,0.0165532,0.0382825,nan,0
50000,2,4,17238,3491951,0.0222403,0.0414789,nan,0
5000,2,5,1883,465863,0.0423614,0.11406,31.9277,58.7298
10000,2,5,4659,945133,0.0338083,0.11991,67.5205,199.733
15000,2,5,5590,1538771,0.022264,0.0390729,78.3538,177.958
20000,2,5,9308,2540034,0.0303286,0.0559497,93.3996,325.466
25000,2,5,11290,3935057,0.0231939,0.046753,187.254,431.614
30000,2,5,10865,5921879,0.0162314,0.0551701,140.791,387.456
35000,2,5,16014,3362298,0.0265605,0.0439244,nan,0
40000,2,5,18314,4082854,0.0142897,0.0368612,nan,0
45000,2,5,20554,6898949,0.0171726,0.0291497,nan,0
50000,2,5,18700,4885516,0.0198336,0.0439612,nan,0
5000,2,6,2386,599727,0.0907268,0.210454,27.7735,92.2352
10000,2,6,6001,1201534,0.0376588,0.0968099,56.7193,137.763
15000,2,6,9020,2164594,0.0298182,0.0661427,66.6397,194.039
20000,2,6,11876,3652823,0.0199575,0.0711385,108.431,332.116
25000,2,6,13760,6125322,0.0177735,0.0393656,153.731,436.721
30000,2,6,14351,9056018,0.0160762,0.0340906,162.14,500.157
35000,2,6,16532,10768824,0.0241569,0.0542149,167.901,352.337
40000,2,6,19165,12271808,0.0179277,0.035321,144.152,495.754
45000,2,6,21344,5299813,0.0157874,0.0306435,nan,0
50000,2,6,27893,7366046,0.0109265,0.0259579,nan,0
5000,2,7,3132,769008,0.0353706,0.105198,17.8692,86.293
10000,2,7,7683,1502145,0.0364427,0.11292,43.1537,126.346
15000,2,7,11508,2752879,0.0296825,0.0851225,63.0363,158.252
20000,2,7,14638,5421588,0.0237598,0.042512,66.0369,443.21
25000,2,7,19431,9268013,0.0218026,0.0712679,135.102,535.044
30000,2,7,23532,12338346,0.0376045,0.118728,144.605,350.666
35000,2,7,26845,14167770,0.025836,0.083543,197.269,710.191
40000,2,7,24857,16639755,0.0322632,0.10008,165.274,910.754
45000,2,7,34676,8019547,0.0271097,0.0608748,nan,0
50000,2,7,35712,7541008,0.0323933,0.10921,nan,0
5000,2,8,4335,872742,0.0674038,0.295871,20.4454,87.4875
10000,2,8,8558,1714248,0.054598,0.107019,50.6895,142.312
15000,2,8,13223,3234842,0.0513303,0.134581,55.1529,202.363
20000,2,8,17291,6862048,0.0293835,0.0765331,77.1576,270.624
25000,2,8,21966,11907559,0.0369751,0.0637123,132.462,353.136
30000,2,8,27250,16250372,0.0281575,0.109997,169.374,439.905
35000,2,8,33440,19631073,0.0264196,0.0575469,178.682,598.722
40000,2,8,38686,22091148,0.0220127,0.0471128,154.317,532.285
45000,2,8,39705,13001454,0.0313464,0.0958106,nan,0
50000,2,8,44179,12218634,0.0224809,0.0577153,nan,0
5000,2,9,5725,1138496,0.0850838,0.218628,21.019,84.0694
10000,2,9,11487,2280681,0.0626485,0.139368,56.1704,209.105
15000,2,9,17100,4247123,0.0461823,0.0971638,62.2925,261.019
20000,2,9,22872,9182723,0.0284003,0.09285,75.2788,468.06
25000,2,9,27454,15829825,0.0350015,0.0936233,77.0335,297.971
30000,2,9,32944,21289119,0.0224663,0.0634376,163.081,446.191
35000,2,9,40242,25537681,0.0273878,0.0813052,180.045,393.884
40000,2,9,42532,28161601,0.0309784,0.117692,239.302,584.575
45000,2,9,51037,10555465,0.0242857,0.0820204,nan,0
50000,2,9,42679,22207135,0.0278845,0.0511494,nan,0
5000,2,10,6275,1278507,0.0834637,0.220759,22.5946,92.8435
10000,2,10,13282,2573865,0.0828884,0.217872,56.1554,124.923
15000,2,10,20627,5016797,0.0378794,0.151257,74.1209,304.726
