N,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g,mean_error_h_g, converged_h, converged_g
5000,5,2,767,154529,0.0362305,0.106684,0.0378401,0.100416,0.00474464,1,1
10000,5,2,1463,295215,0.0256097,0.0686161,0.0280843,0.080446,0.00453826,1,1
15000,5,2,2213,439590,0.0308605,0.0714602,0.0333426,0.0832534,0.00446504,1,1
20000,5,2,2953,588673,0.0339799,0.0545555,0.0363199,0.0663956,0.00439496,1,1
25000,5,2,3682,729184,0.0278101,0.0645013,0.030239,0.0761074,0.0044448,1,1
30000,5,2,4180,871790,0.0256776,0.0531902,0.0281579,0.0648715,0.00443007,1,1
35000,5,2,5154,1024403,0.0216778,0.0411559,0.0242271,0.0529382,0.00441237,1,1
40000,5,2,5939,1168309,0.0203689,0.0370827,0.0229139,0.0489319,0.00443229,1,1
45000,5,2,6746,1313823,0.0176485,0.0353746,0.0220647,0.0472885,0.00441614,1,1
50000,5,2,7247,1454947,0.0193171,0.0409609,0.0237118,0.0528685,0.00439467,1,1
55000,5,2,7577,1612632,0.0149856,0.038079,0.0193193,0.0499464,0.00446227,1,1
60000,5,2,8198,1760155,0.0130565,0.0317569,0.017482,0.0436462,0.00444648,1,1
65000,5,2,9019,1907796,0.0131155,0.0285318,0.0159338,0.0382222,0.00445039,1,1
70000,5,2,9637,2057386,0.0112942,0.0248388,0.0139703,0.0354703,0.00446643,1,1
75000,5,2,10197,2188429,0.0111619,0.0280961,0.0155589,0.0361742,0.0044441,1,1
80000,5,2,11523,2299999,0.00881418,0.0222133,0.0132286,0.0277178,0.00443094,1,1
85000,5,2,11636,2444965,0.00767746,0.0185891,0.0121209,0.0244841,0.00444342,1,1
90000,5,2,11981,2599302,0.00944797,0.0194877,0.0138871,0.0279543,0.00443909,1,1
95000,5,2,13367,2735537,0.00986612,0.0180903,0.0143181,0.0300102,0.00445197,1,1
100000,5,2,14025,2871067,0.00970896,0.0189265,0.0141676,0.0308488,0.00445864,1,1
105000,5,2,14110,3022318,0.010153,0.0211427,0.0145528,0.0331038,0.0044713,1,1
110000,5,2,14704,3172380,0.00813654,0.0166411,0.0118952,0.0277939,0.00448955,1,1
115000,5,2,15351,3312798,0.00809197,0.0144893,0.0125662,0.02556,0.00447425,1,1
120000,5,2,17514,3477626,0.00792846,0.0119954,0.0124103,0.0231289,0.00448183,1,1
125000,5,2,17518,3619119,0.00783306,0.0140159,0.0123203,0.0213711,0.00448723,1,1
130000,5,2,17303,3766513,0.00741101,0.0171718,0.0118871,0.0210264,0.00447605,1,1
135000,5,2,18622,3944627,0.00825078,0.0186278,0.0127234,0.0224855,0.00447265,1,1
140000,5,2,19886,4066359,0.00766358,0.0166511,0.0121157,0.0205139,0.00445214,1,1
145000,5,2,20483,4196464,0.00800387,0.0182255,0.012451,0.0220486,0.0044471,1,1
150000,5,2,21265,4367678,0.00742402,0.0157972,0.0118628,0.0196593,0.00443877,1,1
